subject,count
80% quota threshold exceeded for the folder c:\users\hani.probost\ on server aof0289!,24
refund,18
nothin,10
factory reset,9
90% quota threshold exceeded for the folder c:\users\hani.probost\ on server aof0289!,9
80% quota threshold exceeded for the folder c:\users\renata.hervertova\ on server aof0312!,8
help,7
vps,7
subscription,6
ip address,6
@appsonfly,6
roblox,4
80% quota threshold exceeded for the folder c:\users\aspp\ on server aof0279!,4
"unfortunately, all trials are busy. please subscribe or wait for next free slot.",4
windows,4
appsonfly,4
90% quota threshold exceeded for the folder c:\users\renata.hervertova\ on server aof0312!,4
we are spinning up your vps. it will be up and running in a few minutes.,3
vps location,3
i dont know why i cant start vps,3
ovb agents account expired.,3
apponfly ovb request users to delete,3
rdp,3
all,3
100% quota threshold exceeded for the folder c:\users\hani.probost\ on server aof0289!,3
windows 10,3
100% quota threshold exceeded for the folder c:\users\renata.hervertova\ on server aof0312!,3
wtf,3
100% quota threshold exceeded for the folder c:\users\aofu2431417\ on server aof0295!,3
are you scam? fix my ram,2
subscribtion,2
rdp connection,2
performing factory reset,2
new host,2
changing email,2
problem,2
adress of the vps site with remote computer,2
delete my account,2
problem conection,2
running,2
refund needed,2
unable to access my vps,2
re: apponfly sign-up attempt,2
i cant connect to i cant connect,2
my vps time decreases even though i don't use it,2
upgrade plan,2
vm doesn't start,2
1000000000000000000000,2
apponfly,2
remote desktop error,2
i cant connect,2
billing three times,2
request for device id and configuration reset on vps,2
vps free trial,2
connection error,2
vm support,2
wrong hours used counter,2
fix this,2
i don't have access to my vm,2
request for rdp login details,2
problem uploading files to youtube is very slow,2
user lorenzoni martino,2
refund request,2
r: [apponfly] re: user lorenzoni martino,2
shutdown,2
impossible for me to connect to the vps,2
for gaming,2
connecting to rdp,2
ads offer,2
new subscription zuccarello,2
vps not vetter plese refund,2
jj,2
reset vps to factory settings,2
flee trial,2
windows 11,2
windows server 2025,2
country,2
wrong purchase,2
remot desktop,2
connection through rdp failed,2
can't connect after resetting network settings,2
i cant access my vps,2
delete,2
app spss use?,2
rdp ip address can not see,2
100% quota threshold exceeded for the folder c:\users\aspp\ on server aof0279!,2
connect,2
speed related query,2
vps automatically shuts down shortly after boot,2
free trial,2
replace vps,2
upgrade,2
subscription not loading,2
1,2
time,2
us vpn,2
ips related,2
vps auto-hours consumption,2
security,2
re: [apponfly] re: time,2
.net 3.5,2
access questions consultation,2
google,2
80% quota threshold exceeded for the folder c:\users\aofu2431417\ on server aof0295!,2
i dont have any login infos for my vps,2
cant access free trial,2
2gb ram rdp not working,1
how can i get usa ip,1
i cannot click verify on cloudflare,1
i've paid a subscription after test 10-mins ... and i can't get in you're asking i pay again,1
fwd: spare server request,1
problems with the virtual machine,1
internet make everything slow,1
dedicated ip,1
usb,1
dx11,1
"just buy vps 2cpu, 8gb ram 100gb ssd need help",1
"card charged, but checkout failed",1
pay by crypto,1
i want to move another vps to this account.,1
i have a question,1
cancellation of services,1
can ı refund my virtual machine,1
can ı pay with paypal,1
expired & deleted,1
"windows vps - 1cpu, 2gb ram, 50gb ssd",1
unable to access via rdp,1
cannot connect usb drive device to windows vps,1
nvidia cuda,1
cant log in/ cant sign in,1
you deleted my windows vps !!!!!!!!!!!!!!!!!,1
frameworkd 3.5,1
monthly commitment,1
apponfly: payment dispute,1
slow vm,1
re: [apponfly] re: rdp connection,1
vps not turning on and only showed 1023mb ram,1
offer,1
conectar,1
my vps won't open,1
broken vps - nefunkčné vps,1
re: $23.90 payment to apponfly s.r.o. was unsuccessful,1
vps dont start.,1
usage log,1
bad experience,1
location is not uk,1
i need some help,1
proxy/vpn,1
subscription added to account,1
re: [apponfly] re: re: [apponfly] re: rdp connection,1
i have problem . i can't connect to my vps,1
richard o daniels,1
infinite starting,1
cancelling free trail,1
how to get a vps,1
can't connect the app windows online,1
paid but vps doesn't show,1
my page is all white,1
it still hasn't i waited 5 hour's and it's not working,1
ip trial limit not working at school,1
my vps expired unexpected,1
дедик,1
nomachine,1
spotty connection to guacamole server,1
hours being used,1
why,1
my account,1
upgrade subscription,1
apponfly is not working,1
re: [request received],1
change email/close account/refund,1
vps not working,1
disputed payment,1
can't access my vps that i paid for,1
rdp login error,1
update from 80 level | apponfly | 2/23/2024,1
multi screen,1
not connecting my vps,1
paid subscription but no vps,1
problems with 2 vms,1
stuck at factory reset,1
i want to get vps rdp with gpu nvidia  4 gb,1
500 hours pack,1
i can’t install programs from the microsoft store,1
re: [apponfly] re: re: [apponfly] re: re: [apponfly] re: rdp connection,1
about virtual machine lag,1
scamm i will sue unless u refend my money,1
never received my subscription,1
cloudflare blocking all websites,1
eur billing instead of usd,1
request for free one weak trial,1
is gaming possible on the silver plan?,1
persistence between sessions,1
servers,1
got rdp of wrong country,1
re: [apponfly] re: re: [apponfly] re: re: [apponfly] re: re: [apponfly] re: rdp connection,1
why my vm not 8gb ram?,1
(urgent) disconnect google account,1
re: where my remote desktop setting,1
i paid 12 dolare but the payment history in 0 dollars,1
rdp not working,1
vps has been broken (4-5 days),1
free trials do not work,1
my subscribtion,1
money back,1
