subject,description
Are you scam? Fix my RAM,"I ordered 8GB RAM RDP but you gave me 1.45GB RAM machine.



Fix the issue asap"
2GB RAM RDP not working,"My 2GB RAM RDP is not working, fix it."
how can I get usa IP,"Dear Sir,

How can I get usa residential IP for the survey?"
I cannot click verify on cloudflare,I cannot click “Verify you are human” from Cloudflare (I'm visiting primedice.com).
I've paid a subscription after test 10-mins ... and I can't get in you're asking I pay again,"Hi there,

_I want to cancel and be refunded for **not** using Apponfly as I hoped._

_I trialled it for 10-15 mins and submitted a subscription, paid and got through everything fine for about 15-20mins, then went out. _

_Now, when I came back it's telling me to pay again another subscription? before I get inside._

_Please, refund me thanks. I've cancelled subscription too._

_Isabel_"
Fwd: Spare server request,"Hi Team,

I had shared details of my spare server for you. Can you please check asap and let know?

Thanks"
Problems with the virtual machine,It works very slowly and hangs constantly. what is the problem?
Internet make everything slow,`I screenshot it`
Dedicated IP,"If I purchase any plan flexible or fixed, do you provide dedicated IP to your premium members or shared?"
USB,how do i get my usb to show up and ues on virtual machine
Refund,"hi,

please refund my payment. because i bought wrong server.



thank you"
Dx11 ,Every time I try to run a game on this it would say dx11 leve is required to run this can you fix this thanks
"just buy VPS 2CPU, 8GB RAM 100GB SSD need help",why am getting 1GB not 8GB it doesn't look right at all and is lag so bad
"Card charged, but checkout failed","Hello,

During checkout process the card was charged, but the checkout process failed complaining on my postcode. I clicked on continue button twice and got charged twice 24 USD. Could you please refund?



Almas"
pay by crypto,"hi

i want Subscribe a service

but i haven't credit card and paypal

Is it possible to add a crypto payment method?

tnx"
I want to move another VPS to this account.,"Hi,

I have a VPS under founder@unlimitedsuite.com and I need to move that VPS to this other email: seomarcablanca@icloud.com



I need to give access to a VA to make some configuration and my founder@unlimitedsuite.com is a Google Account and I don´t want to give the VA that access.



Is also possible to create a new user to access this VPS?



Thanks, Jose from Spain."
subscribtion,"hi, i used the subscribed 100gb ssd for like 30 min max just want too check if i can get my money back?"
subscribtion,"hi, just used 30min i think, on the 100gb ssd version, i have cancelled the subscribtion, and wonder if i can get my money back?"
i have a question,"Hello, I want to convert Amazon tracking codes to Blue Care express. I think I need to use a Virtual server for this. I chose you. Is there a possibility that this process may fail via the Virtual server? and can you talk about how can i do this is on virtual servers?"
Cancellation of services,"Hi,

I have cancelled my subscription but I need to clarify that this will cancel all future payments. Please confirm this. Thank you."
Can ı refund my virtual machine,ı wanna  refund my virtual machine ı need high internet speed but my bot gets 0.200 ms
Can ı pay with paypal,I dont have a credit card ı can buy with qr code or paypal
Are you scam? Fix my RAM,"Hi,

I ordered 8GB RAM RDP but you created a 1.45GB RAM.



Upgrade my machine to 8GB RAM"
Expired & deleted,"my plan paid date 22 aug 2023 but not open ….error expired and deleted

pls check"
"Windows VPS - 1CPU, 2GB RAM, 50GB SSD","Can you please remove the network level authentication that I enabled by mistake on this VPS? I am unable to access it, even via the web interface! Thank you."
Unable to access via RDP ,Can you please explain how to access my AppOnFly VPS via RDP? Thanks.
rdp connection,"Hello, I would like to connect to the machine using the Windows RDP client, is this possible? Thank you."
Cannot connect USB Drive device to Windows VPS ,I am trying to connect my USB device to windows vps to update the software the software update requires me to have windows 10 or 11 to update so I bought the VPS to try to solve this since I cannot do it normally on my chrome OS BUT i cannot find a way to make it appear that I have the device connected in the windows vps via my usb drive on my laptop it just won’t appear that I have anything plugged into my laptop on the windows vps pls help me and lmk a way to make it appear
Nvidia Cuda,"Hi, I need a pc with nvidia cuda does your pc supports that one."
cant log in/ cant sign in,"i bought 100 hours of a gold subscription but my work place wont let me log in  to my gmail so i cant get on my account to access my vps. can you help me with this or tell me onther way around this to be able to use the vps.

-brice"
You deleted my Windows VPS !!!!!!!!!!!!!!!!!,"**Why did you delete my Windows VPS, pretending it was expired!!!!!!!!!!**

**I have started my annual subscription  on August 2023, so how the hell could you pretend it was expired!!!!!!!!!!**

**Fix this mistake now or I will contact Stripe to complain and ask for a chargeback  **"
subscription,"i just sent a support request but i had a better ideal

since i cant login my account i just showd you that i am the owner of brice107turner@gmail.com

and i would like if you could transfer my subscription on the my other acount that dose work for my work place briceturner26@students.ccsd.us

if you can help me with this thank you very much email me if there is ant security issues"
frameworkd 3.5,goodmorning how i can install framework 3.5 on my server? he give me error in installation thank you
Monthly commitment,So if i buy a 100 hours on the 2gb ram 1 cpu plan regardless wheather i use it in the month i will still get charged 10 hours is that correct cause if so
AppOnFly: Payment Dispute,"Hi daniel saljanin,

We recently received notification that a payment you made to AppOnFly is being disputed due to a reported fraudulent transaction.
We take such matters seriously and want to ensure your satisfaction with our service.

We understand that sometimes billing discrepancies can occur, and we're here to help resolve any concerns you may have.
However, **we see that you have canceled your suubscription after (not before) the payment was disputed**.

To better understand the nature of the dispute and address any issues promptly, we kindly request your assistance in clarifying the situation.
**Could you please provide more details about why the dispute was initiated?**
If there has been any confusion or if you believe this dispute was issued in error, we would greatly appreciate your feedback.

Our team is committed to providing you with exceptional service, and we want to ensure that your experience with AppOnFly is positive and trouble-free.
If you find that the service is working as expected and that the dispute was issued in error, **we kindly request that you consider withdrawing the dispute to help us expedite the resolution process**.

Please feel free to reply to this message or reach out to our customer support team to discuss the matter further.
Thank you for your cooperation, and we look forward to resolving this issue to your satisfaction.
 ![](https://apponfly6713.zendesk.com/attachments/token/xfmfb5lsztUPTTXd7DFnLJWvs/?name=image.png)

Sincerely,
AppOnFly Suport Team"
Slow Vm,my windows VM with 8 GB ram is very slow and laggy and it sometimes disconnects like it cannot stream videos and it cannot process animations like when switching tabs or scrolling in a website
Re: [AppOnFly] Re: rdp connection,"This is a follow-up to your previous request #1353 ""rdp connection""

Hello, thank you for your response. I have a problem typing the ""@"" symbol on the machine.
Thanks"
Vps not turning on and only showed 1023mb ram,The vps is stuck on starting and it only had 1023mb ram
offer,"Hello, I have a Discord server with 400 thousand people and I give paid advertising.
You can see our prices below.
If you are interested, I can advertise you.



1 month advertising fee
75$

3 month advertising fee
225$

permanent advertising fee (discounted)
270$"
Conectar,"Compré y lo he puesto a prueba pero no logro trabajar solo menciona Conectando… espere mientras preparamos VM para usted. Ya voy 2 horas esperando sin éxito.

#### Espere mientras preparamos VM para usted.

#### Espere mientras preparamos VM para usted."
We are spinning up your VPS. It will be up and running in a few minutes.,"We are spinning up your VPS. It will be up and running in a few minutes.

this stuck for more than 2 weeks can u please fix it"
Performing Factory Reset,"Hello,

Performing Factory Reset taking days instead of minutes on my “**Windows VPS - 2CPU, 8GB RAM, 100GB SSD”** machine.

Best regards."
My VPS won't open,"Hello, I tried to factory reset my VPS and I got a massage We are spinning up your VPS. It will be up and running in a few minutes. and it's 3 days since this reset"
broken VPS - nefunkčné VPS,"Dobrý den

Včera som resetoval moj VPS urobil som factory reset.Od Včera prešlo už viac ako 24 hodín a VPS mi stále nefunguje stále vipisuje jednu hlášku ,prikladám obrazok v prílohe.

Možte mi pomoct z mojim problémom

Dakujem za skoré vybavenie mojej žiadosti."
